OP,NOMBRE DE PRODUCTO (IGUAL A LA OP),LOTE,¿BR COMPLETO?,OBSERVACIONES ,UBICACIÓN ASIGNADA,,,,,,
25116,ANAPIRAN ,503AN06,SI,,1,,,,,,
25071,ANAPIRAN,502AN05,NO,Pendiente inspección y formato cierre ,1,,,,,,
24069,DILUENTE AUROCEF ,403CF01,NO,Pendiente por cerrar ,4,,,,,,
25043,AURODIARREGAN NF,509DN01,SI,Pendiente firma c ruge ,5,,,,,,
24363,AUROCEF,412CF03,NO,"Pendiente por cerrar , se encontró durante el inventario ",5,,,,,,
25259,AUROCEF,505CF02,NO,"Pendiente por cerrar , tiene la inspeccion del diluente tambien es necesario buscar BR  del diluente , se da la instruccion de guardarlos juntos pero no revueltos",5,,,,,,
26012,AUROFARVIT INYECTABLE ,602FI02,SI,Pendiente firma c ruge y dt ,7,,,,,,
25252,AUROFARVIT ORAL,506FO10,SI,Falta firma c.ruge,11,,,,,,
25251,AUROFARVIT ORAL,506FO09,SI,Pendiente firma c ruge,11,,,,,,
25253,AUROFARVIT ORAL ,506FO11,SI,Pendiente firma c ruge ,11,,,,,,
25334,AUROFARVIT ORAL ,510FO13,SI,Pendiente firma c ruge ,17,,,,,,
25438,AUROFARVIT ORAL,511FO16,SI,Pendiente firma c ruge ,19,,,,,,
25336,AUROFARVIT ORAL,510FO15,SI,Pendiente firma c ruge ,19,,,,,,
25440,AUROFARVIT ORAL,511FO18,SI,Pendiente firma c ruge,20,,,,,,
25439,AUROFARVIT ORAL,511FO17,SI,Pendiente firma c ruge ,20,,,,,,
25330,AUROMECK INYECTABLE,509AM02,SI,Pendiente firma c ruge ,22,,,,,,
26001,AUROMECK INYECTABLE ,601AM01,SI,Pendiente firma c ruge ,22,,,,,,
25417,AUROTEL,509AU03,SI,Pendiente firma c ruge ,26,,,,,,
25126,AUROTILMICOSIN ,509AT01,SI,Pendiente firma c ruge ,27,,,,,,
25001,BOLDEBIG 50 ,502BO01,NO,Pendiente inspección ,36,,,,,,
25102,BOLDEBIG 50,502BO02,NO,Falta inspección ,37,,,,,,
25362,CIPERMETRINA ,509CI15,SI,Pendiente firma c ruge ,43,,,,,,
25165,CIPERMETRINA ,503CI06,SI,,43,,,,,,
25366,CIPERMETRINA ,509CI16,SI,Pendiente firma c ruge ,48,,,,,,
25388,CIPERMETRINA ,510CI19,SI,Pendiente firma c ruge ,49,,,,,,
25389,CIPERMETRINA ,510CI20,SI,Pendiente firma c ruge ,54,,,,,,
25390,CIPERMETRINA ,510CI21,SI,Pendiente firma c ruge ,54,,,,,,
24152,CREO-TAY ,407CT06,SI,,57,,,,,,
24192,CREO-TAY ,409CT08,SI,,57,,,,,,
25055,CREO-TAY ,504CT02,SI,,57,,,,,,
25056,CREO-TAY ,505CT03,SI,,62,,,,,,
25058,CREO-TAY ,502CT01,SI,,63,,,,,,
23183,Q-IVERMEC 3.5,309QI04,SI,,66,,,,,,
23146,Q-IVERMEC 3.5,305QI03,SI,,66,,,,,,
23128,Q-IVERMEC 3.5,305QI02,SI,"Se evidenció testigos de AUROMECK , con lote 305AM02 dentro del paquete 
Se debe arreglar.",66,,,,,,
23013,Q-IVERMEC 3.5,303QI01,SI,,66,,,,,,
25022,Q-IVERMEC 3.5,502QI01,SI,,67,,,,,,
24265,Q-IVERMEC 3.5,409QI02,NO,Pendiente cerrar BR,67,,,,,,
241,Q-IVERMEC 3.5,410QI03,NO,"Falta cerrar e inspección , digitar numero de op correctamente",67,,,,,,
24087,Q-IVERMEC 3.5,407QI01,NO,Falta carpeta y firmas de DT y DC,67,,,,,,
26002,Q-IVERMEC 3.5,601QI01,SI,Pendiente firma c.ruge,68,,,,,,
25332,Q-IVERMEC 3.5,509QI03,SI,Pendiente firma c ruge,68,,,,,,
25236,Q-IVERMEC 3.5,506QI02,SI,,68,,,,,,
23015,SULFATROPHIN INYECTABLE ,305SI02,SI,,69,,,,,,
24057,SULFATROPHIN INYECTABLE ,404SI01-2,NO,"Existen  5 BR con el mismo lote pero con guion al final. desde el 1 hasta el 5 , ninguno tiene inspecciones o portada , todos en sobre manila",69,,,,,,
24057,SULFATROPHIN INYECTABLE ,404SI01-3,NO,"Existen  5 BR con el mismo lote pero con guion al final. desde el 1 hasta el 5 , ninguno tiene inspecciones o portada , todos en sobre manila",69,,,,,,
23002,SULFATROPHIN INYECTABLE ,301SI01,SI,"2 inspecciónes diferentes tienen consecutivo 005-23, ambas están anexas.",69,,,,,,
24057,SULFATROPHIN INYECTABLE ,404SI01-1,NO,"Existen  5 BR con el mismo lote pero con guion al final. desde el 1 hasta el 5 , ninguno tiene inspecciones o portada , todos en sobre manila",70,,,,,,
25086,SULFATROPHIN INYECTABLE ,506SI02,SI,Pendiente firma j Benavides ,70,,,,,,
24057,SULFATROPHIN INYECTABLE ,404SI01-4,NO,"Existen  5 BR con el mismo lote pero con guion al final. desde el 1 hasta el 5 , ninguno tiene inspecciones o portada , todos en sobre manila",70,,,,,,
24057,SULFATROPHIN INYECTABLE ,404SI01-5,NO,"Existen  5 BR con el mismo lote pero con guion al final. desde el 1 hasta el 5 , ninguno tiene inspecciones o portada , todos en sobre manila",70,,,,,,
25333,SULFATROPHIN INYECTABLE ,510SI04,SI,Pendiente firma c.ruge,71,,,,,,
25408,SULFATROPHIN INYECTABLE ,510SI05,SI,Pendiente firma c ruge ,71,,,,,,
25156,SULFATROPHIN INYECTABLE ,503SI01,SI,,71,,,,,,
25301,SULFATROPHIN INYECTABLE ,506SI03,SI,,71,,,,,,
25443,SULFATROPHIN INYECTABLE,511SI06,SI,Pendiente firma c.ruge,72,,,,,,
25451,CIPERMETRINA ,512CI25,SI,Pendiente firma c ruge ,73,,,,,,
25397,CIPERMETRINA ,510CI22,SI,Pendiente firma c ruge ,73,,,,,,
25392,CIPERMETRINA,510CI23,SI,Pendiente firma c ruge ,73,,,,,,
25450,CIPERMETRINA ,512CI24,SI,Pendiente firma c ruge y n. ORTEGA ,73,,,,,,
26018,CIPERMETRINA,602CI03,SI,Pendiente firma c ruge,74,,,,,,
26016,CIPERMETRINA ,602CI01,SI,Pendiente firma c ruge ,74,,,,,,
25452,CIPERMETRINA ,512CI26,SI,Pendiente firma c ruge ,74,,,,,,
26017,CIPERMETRINA ,602CI02,SI,Pendiente firma c ruge ,74,,,,,,
26023,CIPERMETRINA ,603CI07,SI,Pendiente firma de C ruge,75,,,,,,
26020,CIPERMETRINA ,603CI04,SI,Pendiente firma c ruge ,75,,,,,,
OMP-00000095,CIPERMETRINA,604CI09,SI,Pendiente firma c ruge ,75,,,,,,
OMP-00000094,CIPERMETRINA ,604CI08,SI,Pendiente firma c ruge ,75,,,,,,
OMP-00000096,CIPERMETRINA ,604CI10,SI,Pendiente firma c ruge y dt ,76,,,,,,
OMP-00000098,CIPERMETRINA ,604CI12,SI,Pendiente firma c ruge y dt ,76,,,,,,
OMP-00000097,CIPERMETRINA ,604CI11,SI,Pendiente firma c ruge y dt ,76,,,,,,
25299,DOXYCOL,510DO04,SI,Pendiente firma de C ruge,77,,,,,,
25300,DOXYCOL,510DO05,SI,Pendiente firma c ruge ,77,,,,,,
25147,DOXYCOL,507DO03,SI,,77,,,,,,
25146,DOXYCOL,507DO02,NO,Pendiente inspección ,77,,,,,,
25347,DOXYCOL,510DO06,SI,Pendiente firma de C ruge,78,,,,,,
25405,DOXYCOL,510DO07,SI,Pendiente firma c ruge ,78,,,,,,
23031,Q-NORFLOXAN ,305NF01,SI,,79,,,,,,
24023,Q-NORFLOXAN ,402NF01,SI,,79,,,,,,
23201,Q-NORFLOXAN ,311NF03,SI,,79,,,,,,
23200,Q-NORFLOXAN ,310NF02,SI,,79,,,,,,
24045,Q-NORFLOXAN ,402NF03,SI,,80,,,,,,
24044,Q-NORFLOXAN ,402NF02,SI,,80,,,,,,
24249,Q-NORFLOXAN ,408NF05,SI,,80,,,,,,
24173,Q-NORFLOXAN ,407NF04,SI,,80,,,,,,
25129,Q-NORFLOXAN ,504NF02,SI,,81,,,,,,
25337,Q-NORFLOXAN ,509NF04,SI,,81,,,,,,
25130,Q-NORFLOXAN ,504NF03,SI,,81,,,,,,
25072,Q-NORFLOXAN ,502NF01,SI,,81,,,,,,
26003,Q-NORFLOXAN,601NF01,SI,Pendiente firma c ruge ,82,,,,,,
25338,Q-NORFLOXAN ,509NF05,SI,,82,,,,,,
25145,COCCIDIOL,510CO01,SI,Pendiente firma c ruge ,83,,,,,,
24130,FLORMIX ,404FX03,SI,,84,,,,,,
24110,FLORMIX ,404FX01,SI,,84,,,,,,
24129,FLORMIX ,404FX02,SI,,84,,,,,,
24211,FLORMIX ,408FX04,SI,,84,,,,,,
26027,FLORMIX,603FX03,SI,Pendiente firma c ruge ,85,,,,,,
25222,FLORMIX,504FX02,SI,,85,,,,,,
25221,FLORMIX ,504FX01,SI,,85,,,,,,
25277,AVICUR POLVO,510AC12,SI,"Pendiente firma c ruge (corregir), no se encuentra la segunda inspeccion fisica , se anexa una copia impresa, tiene el mismo numero de OP  que el lote 509AC11",86,,,,,,
25273,AVICUR POLVO,507AC10,SI,Pendiente firma c ruge ,86,,,,,,
24155,AVICUR POLVO,503AC09,NO,"Falta anexar inspección y portada , se cambio el lote a 505AC09",86,,,,,,
24462,AVICUR POLVO,412AC16,NO,Falta anexar inspección y formato cierre ,86,,,,,,
25394,FERRYDECK,510FD03,SI,Pendiente firma c ruge ,87,,,,,,
25234,FERRYDECK,504FD02,SI,,87,,,,,,
242,FERRYDECK ,408FD02,NO,"Falta cerrar e inspección , digitar numero de op correctamente",87,,,,,,
25025,FERRYDECK ,503FD01,SI,,87,,,,,,
25331,BOLDEBIG 50,508BO06,SI,Pendiente firma c ruge ,88,,,,,,
25406,BOLDEBIG 50,510BO07,SI,Pendiente firma c ruge ,88,,,,,,
23006,ERIPANTO INYECTABLE ,311EI03,SI,,89,,,,,,
23005,ERIPANTO INYECTABLE ,311EI02,SI,,89,,,,,,
23007,ERIPANTO INYECTABLE ,311EI04,SI,,89,,,,,,
23005,ERIPANTO INYECTABLE ,302EI01,SI,,89,,,,,,
25407,ERIPANTO INYECTABLE,510EI02,SI,Pendiente firma c ruge ,90,,,,,,
24262,ERIPANTO INYECTABLE ,409EI01,NO,Pendiente cerrar BR,90,,,,,,
25118,ERIPANTO INYECTABLE ,504EI01,SI,,90,,,,,,
25387,CIPERMETRINA 15 EC AUROFARMA ,510CI18,SI,Pendiente firma c ruge ,91,,,,,,
23056,PORCIX,302PO01,SI,,92,,,,,,
24017,PORCIX ,402PO01,SI,,92,,,,,,
23217,PORCIX ,309PO03,SI,,92,,,,,,
23147,PORCIX ,306PO02,SI,,92,,,,,,
25270,PORCIX,509PO03,SI,Pendiente firma c ruge ,93,,,,,,
25271,PORCIX,509PO04,SI,Pendiente firma c ruge ,93,,,,,,
25156,PORCIX,503PO02,NO,Pendiente formato cierre de BR,93,,,,,,
25017,PORCIX,502PO01,SI,,93,,,,,,
25385,PORCIX,510PO05,SI,Pendiente firma c ruge ,94,,,,,,
25442,MELOXIDOL,511ME04,SI,Pendiente firma c ruge ,95,,,,,,
25395,MELOXIDOL ,510ME03,SI,Pendiente firma c ruge ,95,,,,,,
23124,MELOXIDOL ,308ME01,SI,,95,,,,,,
23056,MELOXIDOL,405ME01,SI,,95,,,,,,
25449,MELOXIDOL ,511ME05,SI,Pendiente firma c ruge ,96,,,,,,
25289,Q-FOS 25,511FS05,SI,Pendiente firma c ruge ,97,,,,,,
25291,Q-FOS 25,511FS06,SI,"Pendiente firma de C ruge y dt , DIGITAR APT",97,,,,,,
24102,SULFATROPHIN ORAL ,406SO01,SI,,98,,,,,,
24204,SULFATROPHIN ORAL ,406SO02,SI,,98,,,,,,
23033,SULFATROPHIN ORAL ,305SO01,SI,,98,,,,,,
23213,SULFATROPHIN ORAL ,311SO02,SI,,98,,,,,,
25134,SULFATROPHIN ORAL ,503SO01,SI,,99,,,,,,
24360,SULFATROPHIN ORAL ,411SO04,SI,,99,,,,,,
24205,SULFATROPHIN ORAL ,409SO03,NO,"Falta portada, firmas , y la fecha de liberación no coincide ",99,,,,,,
25135,SULFATROPHIN ORAL ,503SO02,SI,,99,,,,,,
26004,SULFATROPHIN ORAL,601SO01,SI,Pendiente firma c ruge ,100,,,,,,
25436,AUROZOLE 25 CO,511AZ02,SI,Pendiente firma c ruge ,101,,,,,,
25223,AUROZOLE 25 CO ,507AZ01,SI,,101,,,,,,
24210,GLH-20,408GL08,SI,,102,,,,,,
24189,GLH-20,407GL06,SI,,102,,,,,,
24190,GLH-20 ,408GL07,SI,,102,,,,,,
25073,GLH-20,507GL03,NO,,102,,,,,,
25365,GLH-20,509GL05,SI,Pendiente firma c ruge ,103,,,,,,
25364,GLH-20,509GL04,SI,,103,,,,,,
25075,GLH-20,502GL01,SI,,103,,,,,,
23063,SULFACOCCIDIOL ,303SC01,SI,,104,,,,,,
24026,SULFACOCCIDIOL ,405SC01,SI,,104,,,,,,
23102,SULFACOCCIDIOL ,304SC02,SI,,104,,,,,,
23152,SULFACOCCIDIOL ,309SC05,SI,,104,,,,,,
25158,SULFACOCCIDIOL,507SC04,SI,Pendiente firma c ruge y dt ,105,,,,,,
25159,SULFACOCCIDIOL,504SC02,SI,,105,,,,,,
25185,SULFACOCCIDIOL,503SC03,SI,Pendiente firmas de DT y DC,105,,,,,,
24131,SULFACOCCIDIOL ,408SC02,SI,,105,,,,,,
25185,SULFACOCCIDIOL,507SC05,SI,Pendiente firma c ruge y dt,106,,,,,,
25288,SULFACOCCIDIOL,510SC06,SI,,106,,,,,,
25262,Q-FOS,507FS02,SI,Lo tiene sebas ,107,,,,,,
23230,PENIDEXINA ,309PS03,SI,Lo tiene sebas ,108,,,,,,
24196,PENIDEXINA ,408PS01,SI,,108,,,,,,
23120,PENIDEXINA ,306PS02,SI,,108,,,,,,
23070,PENIDEXINA ,302PS01,SI,,108,,,,,,
23062,Q MICOSPECTIN,304MC03,SI,,109,,,,,,
23061,Q MICOSPECTIN,304MC02,SI,,109,,,,,,
25028,Q-TARTILO 100,501TT02,SI,,110,,,,,,
25027,Q-TARTILO 100,501TT01,SI,,110,,,,,,
25029,Q-TARTILO 100 ,501TT03,SI,,110,,,,,,
24327,Q-TARTILO 100,410TT04,SI,,110,,,,,,
25225,Q-TARTILO 100,504TT04,SI,,111,,,,,,
25228,Q-TARTILO 100,504TT06,SI,,111,,,,,,
25308,Q-TARTILO 100,507TT07,SI,,111,,,,,,
25226,Q-TARTILO 100,504TT05,SI,,111,,,,,,
25368,Q-TARTILO 100 ,509TT10,SI,,112,,,,,,
25369,Q-TARTILO 100,509TT11,SI,,112,,,,,,
25309,Q-TARTILO 100,507TT08,SI,,112,,,,,,
25310,Q-TARTILO 100,507TT09,SI,,112,,,,,,
25370,Q-TARTILO 100,509TT12,SI,Pendiente firma c ruge ,113,,,,,,
25425,Q-TARTILO 100,511TT14,SI,,113,,,,,,
25426,Q-TARTILO 100 ,511TT15,SI,,113,,,,,,
25035,Q-FLORFEN ,502FL02,NO,Pendiente formato de cierre ,114,,,,,,
23057,Q-FLORFEN ,303FL01,SI,,114,,,,,,
24394,Q-FLORFEN ,412FL04,SI,,114,,,,,,
25034,Q-FLORFEN ,502FL01,SI,,114,,,,,,
25036,Q-FLORFEN ,502FL03,NO,Falta portada de liberación de BR,115,,,,,,
25037,Q-FLORFEN,502FL04,NO,"Falta portada de liberación de BR , revisar el numero de OP.",115,,,,,,
25038,Q-FLORFEN ,502FL05,SI,,115,,,,,,
